,Date,Variable,Value
705,05/02/2018,SO2,0.005
706,05/02/2018,SO2,0.014
707,06/02/2018,SO2,0.018000000000000002
708,06/02/2018,SO2,0.013
709,06/02/2018,SO2,0.008
710,06/02/2018,SO2,0.019
711,07/02/2018,SO2,0.008
712,07/02/2018,SO2,0.016
713,07/02/2018,SO2,0.006
714,07/02/2018,SO2,0.005
715,08/02/2018,SO2,0.005
716,08/02/2018,SO2,0.009000000000000001
717,09/02/2018,SO2,0.009000000000000001
718,09/02/2018,SO2,0.019
719,09/02/2018,SO2,0.018000000000000002
720,10/02/2018,SO2,0.013
721,10/02/2018,SO2,0.018000000000000002
722,10/02/2018,SO2,0.021
723,11/02/2018,SO2,0.009000000000000001
724,12/02/2018,SO2,0.024
725,12/02/2018,SO2,0.013
726,12/02/2018,SO2,0.043
727,12/02/2018,SO2,0.014
728,13/02/2018,SO2,0.002
729,13/02/2018,SO2,0.009000000000000001
730,13/02/2018,SO2,0.035
731,13/02/2018,SO2,0.016
732,14/02/2018,SO2,0.011
733,14/02/2018,SO2,0.016
734,14/02/2018,SO2,0.032
735,14/02/2018,SO2,0.029
736,15/02/2018,SO2,0.024
737,15/02/2018,SO2,0.013
738,15/02/2018,SO2,0.016
739,16/02/2018,SO2,0.016
740,16/02/2018,SO2,0.008
741,16/02/2018,SO2,0.005
742,17/02/2018,SO2,0.021
743,17/02/2018,SO2,0.006
744,18/02/2018,SO2,0.009000000000000001
745,19/02/2018,SO2,0.005
746,19/02/2018,SO2,0.013
747,19/02/2018,SO2,0.011
748,19/02/2018,SO2,0.003
749,20/02/2018,SO2,0.005
750,20/02/2018,SO2,0.013
751,20/02/2018,SO2,0.024
752,21/02/2018,SO2,0.024
753,21/02/2018,SO2,0.006
754,21/02/2018,SO2,0.018000000000000002
755,21/02/2018,SO2,0.01
756,22/02/2018,SO2,0.008
757,22/02/2018,SO2,0.005
758,22/02/2018,SO2,0.01
759,23/02/2018,SO2,0.003
760,23/02/2018,SO2,0.005
761,24/02/2018,SO2,0.005
762,24/02/2018,SO2,0.014
763,25/02/2018,SO2,0.009000000000000001
764,26/02/2018,SO2,0.013
765,26/02/2018,SO2,0.002
766,26/02/2018,SO2,0.016
767,26/02/2018,SO2,0.006
768,27/02/2018,SO2,0.013
769,27/02/2018,SO2,0.003
770,27/02/2018,SO2,0.01
771,27/02/2018,SO2,0.006
772,28/02/2018,SO2,0.008
773,28/02/2018,SO2,0.006
774,28/02/2018,SO2,0.002
775,28/02/2018,SO2,0.011
776,01/03/2018,SO2,0.008
777,01/03/2018,SO2,0.01
778,01/03/2018,SO2,0.016
779,02/03/2018,SO2,0.009000000000000001
780,02/03/2018,SO2,0.002
781,02/03/2018,SO2,0.021
782,02/03/2018,SO2,0.003
783,03/03/2018,SO2,0.002
784,03/03/2018,SO2,0.011
785,03/03/2018,SO2,0.006
786,04/03/2018,SO2,0.009000000000000001
787,05/03/2018,SO2,0.016
788,05/03/2018,SO2,0.013
789,05/03/2018,SO2,0.008
790,06/03/2018,SO2,0.01
791,06/03/2018,SO2,0.018000000000000002
792,06/03/2018,SO2,0.008
793,07/03/2018,SO2,0.018000000000000002
794,07/03/2018,SO2,0.005
795,07/03/2018,SO2,0.021
796,07/03/2018,SO2,0.011
797,08/03/2018,SO2,0.009000000000000001
798,09/03/2018,SO2,0.01
799,09/03/2018,SO2,0.008
800,09/03/2018,SO2,0.016
